timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1751382028184,37,PUT Travel Plan,200,,Thread Group 1-10,text,true,,632,462,6,6,http://137.43.49.25:443/api/userplans/3769,37,0,0
1751382028095,128,PUT User Details,200,,Thread Group 1-11,text,true,,621,310,6,6,http://137.43.49.25:443/api/user,128,0,0
1751382028217,8,Post Logout,200,,Thread Group 1-8,,true,,498,317,6,6,http://137.43.49.25:443/api/logout,8,0,0
1751382028221,7,Post Logout,200,,Thread Group 1-10,,true,,498,317,6,6,http://137.43.49.25:443/api/logout,7,0,0
1751382028223,39,GET Museum Recommendations,200,,Thread Group 1-11,text,true,,37238,328,6,6,http://137.43.49.25:443/api/pois?poiTypeName=museum&dateTime=2025-07-13T09:30:00.000000Z&limit=1000&transitType=bus&latitude=40.728&longitude=-73.999,26,0,0
1751382028262,13,POST Museum Travel Plan,201,,Thread Group 1-11,text,true,,634,492,6,6,http://137.43.49.25:443/api/userplans,13,0,0
1751382028101,177,Post Login,200,,Thread Group 1-12,,true,,490,234,6,6,http://137.43.49.25:443/api/login,177,0,0
1751382028278,9,GET CSRF Token,200,,Thread Group 1-12,text,true,,564,185,6,6,http://137.43.49.25:443/api/csrf-token,9,0,0
1751382028287,20,Post User Picture,201,,Thread Group 1-12,text,true,,578,9344,6,6,http://137.43.49.25:443/api/user/picture,20,0,0
1751382028307,17,GET User Details,200,,Thread Group 1-12,text,true,,621,231,6,6,http://137.43.49.25:443/api/user,17,0,0
1751382028324,34,GET User Picture,200,,Thread Group 1-12,bin,true,,9295,231,6,6,http://137.43.49.25:443/api/user/picture/user_700_istockphoto-1337144146-612x612.jpg,34,0,0
1751382028189,169,Post Login,200,,Thread Group 1-7,,true,,490,233,6,6,http://137.43.49.25:443/api/login,169,0,0
1751382028229,134,Post Login,200,,Thread Group 1-10,,true,,490,234,6,6,http://137.43.49.25:443/api/login,134,0,0
1751382028358,25,GET CSRF Token,200,,Thread Group 1-7,text,true,,564,185,6,6,http://137.43.49.25:443/api/csrf-token,15,0,0
1751382028363,33,GET CSRF Token,200,,Thread Group 1-10,text,true,,564,185,6,6,http://137.43.49.25:443/api/csrf-token,33,0,0
1751382028226,187,Post Login,200,,Thread Group 1-8,,true,,490,233,6,6,http://137.43.49.25:443/api/login,187,0,0
1751382028042,378,GET List of Recommendations,200,,Thread Group 1-9,text,true,,1217,1360,6,6,http://137.43.49.25:443/api/pois/recommendation,375,0,0
1751382028275,153,GET Park Recommendations,200,,Thread Group 1-11,text,true,,245636,349,6,6,http://137.43.49.25:443/api/pois?poiTypeName=park&dateTime=2025-07-13T11:00:00.779042Z&limit=1000&transitType=walk&latitude=40.69913810666333&longitude=-74.03949152484903,47,0,0
1751382028413,16,GET CSRF Token,200,,Thread Group 1-8,text,true,,564,185,6,6,http://137.43.49.25:443/api/csrf-token,16,0,0
1751382028388,48,Post User Picture,201,,Thread Group 1-7,text,true,,578,9329,6,6,http://137.43.49.25:443/api/user/picture,48,0,0
1751382028396,41,Delete Account,204,,Thread Group 1-10,,true,,393,317,6,6,http://137.43.49.25:443/api/user,0,0,0
1751382028421,27,POST Travel Plans,201,,Thread Group 1-9,text,true,,1048,979,6,6,http://137.43.49.25:443/api/userplans/multiple,27,0,0
1751382028438,12,GET POI Types,200,,Thread Group 1-10,text,true,,700,130,6,6,http://137.43.49.25:443/api/poitypes,12,0,0
1751382028429,21,POST Park Travel Plan,201,,Thread Group 1-11,text,true,,632,483,6,6,http://137.43.49.25:443/api/userplans,21,0,0
1751382028437,14,GET User Details,200,,Thread Group 1-7,text,true,,620,231,6,6,http://137.43.49.25:443/api/user,14,0,0
1751382028430,21,Delete Account,204,,Thread Group 1-8,,true,,393,317,6,6,http://137.43.49.25:443/api/user,0,0,0
1751382028451,11,GET User Picture,200,,Thread Group 1-7,bin,true,,9295,231,6,6,http://137.43.49.25:443/api/user/picture/user_701_istockphoto-1337144146-612x612.jpg,11,0,0
1751382028448,15,Delete Museum Travel Plan,204,,Thread Group 1-9,,true,,393,295,6,6,http://137.43.49.25:443/api/userplans/3770,0,0,0
1751382028452,13,GET POI Types,200,,Thread Group 1-8,text,true,,700,130,6,6,http://137.43.49.25:443/api/poitypes,13,0,0
1751382028358,119,PUT User Details,200,,Thread Group 1-12,text,true,,621,310,6,6,http://137.43.49.25:443/api/user,119,0,0
1751382028463,15,Delete Parts of Travel Plan,204,,Thread Group 1-9,,true,,393,303,6,6,http://137.43.49.25:443/api/userplans,0,0,0
1751382028478,12,GET Travel Plans,200,,Thread Group 1-9,text,true,,932,268,6,6,http://137.43.49.25:443/api/userplans,12,0,0
1751382028478,28,GET Museum Recommendations,200,,Thread Group 1-12,text,true,,37238,328,6,6,http://137.43.49.25:443/api/pois?poiTypeName=museum&dateTime=2025-07-13T09:30:00.000000Z&limit=1000&transitType=bus&latitude=40.728&longitude=-73.999,27,0,0
1751382028490,21,PUT Travel Plan,200,,Thread Group 1-9,text,true,,632,462,6,6,http://137.43.49.25:443/api/userplans/3771,20,0,0
